method,window_id,start_date,end_date,n_days,n_rows,n_positives,threshold,precision,recall,f1,alerts_per_day,note
platt,4,2020-10-03,2020-11-01,30,73710,225,0.061,0.128099173553719,0.13777777777777778,0.13276231263383295,8.066666666666666,ok
platt,5,2020-11-02,2020-12-01,30,73710,154,0.061,0.15503875968992248,0.12987012987012986,0.1413427561837456,4.3,ok
platt,6,2020-12-02,2020-12-31,30,73710,148,0.061,0.0851063829787234,0.02702702702702703,0.041025641025641026,1.5666666666666667,ok
platt,7,2021-01-01,2021-01-30,30,73710,131,0.061,0.022222222222222223,0.015267175572519083,0.018099547511312215,3,ok
platt,8,2021-01-31,2021-03-01,30,73710,191,0.061,0.06578947368421052,0.02617801047120419,0.037453183520599245,2.533333333333333,ok
platt,9,2021-03-02,2021-03-31,30,73710,126,0.061,0.1111111111111111,0.11904761904761904,0.11494252873563218,4.5,ok
platt,10,2021-04-01,2021-04-30,30,73710,235,0.061,0.11589403973509933,0.14893617021276595,0.1303538175046555,10.066666666666666,ok
platt,11,2021-05-01,2021-05-30,30,73710,479,0.061,0.14174252275682706,0.22755741127348644,0.1746794871794872,25.633333333333333,ok
platt,12,2021-05-31,2021-06-29,30,73710,540,0.061,0.13408521303258145,0.3962962962962963,0.200374531835206,53.2,ok
platt,13,2021-06-30,2021-07-29,30,73710,503,0.061,0.11044937736870601,0.40556660039761433,0.17361702127659576,61.56666666666667,ok
platt,14,2021-07-30,2021-08-30,30,73710,615,0.061,0.11542857142857142,0.3284552845528455,0.1708245243128964,58.333333333333336,ok
platt,15,2021-08-31,2021-09-29,30,73710,544,0.061,0.10919540229885058,0.3492647058823529,0.16637478108581435,58,ok
platt,16,2021-09-30,2021-10-29,30,73710,284,0.061,0.1028169014084507,0.25704225352112675,0.14688128772635817,23.666666666666668,ok
platt,17,2021-10-30,2021-11-28,30,73710,129,0.061,0.05699481865284974,0.08527131782945736,0.06832298136645963,6.433333333333334,ok
platt,18,2021-11-29,2021-12-28,30,73710,102,0.061,0.09876543209876543,0.0784313725490196,0.08743169398907104,2.7,ok
platt,19,2021-12-29,2021-12-31,3,7371,11,0.061,NA,0,NA,0,ok
beta,1,2020-07-01,2020-07-30,30,73710,360,0.058,0.07744107744107744,0.3194444444444444,0.12466124661246611,49.5,ok
beta,2,2020-07-31,2020-08-29,30,73710,325,0.058,0.06141732283464567,0.24,0.09780564263322883,42.333333333333336,ok
beta,3,2020-08-30,2020-10-02,30,73710,248,0.058,0.08163265306122448,0.24193548387096775,0.12207527975584943,24.5,ok
beta,4,2020-10-03,2020-11-01,30,73710,225,0.058,0.12550607287449392,0.13777777777777778,0.1313559322033898,8.233333333333333,ok
beta,5,2020-11-02,2020-12-01,30,73710,154,0.058,0.16030534351145037,0.13636363636363635,0.14736842105263157,4.366666666666666,ok
beta,6,2020-12-02,2020-12-31,30,73710,148,0.058,0.08333333333333333,0.02702702702702703,0.04081632653061225,1.6,ok
beta,7,2021-01-01,2021-01-30,30,73710,131,0.058,0.031578947368421054,0.022900763358778626,0.026548672566371685,3.1666666666666665,ok
beta,8,2021-01-31,2021-03-01,30,73710,191,0.058,0.0641025641025641,0.02617801047120419,0.03717472118959108,2.6,ok
beta,9,2021-03-02,2021-03-31,30,73710,126,0.058,0.11267605633802817,0.12698412698412698,0.11940298507462685,4.733333333333333,ok
beta,10,2021-04-01,2021-04-30,30,73710,235,0.058,0.11688311688311688,0.15319148936170213,0.13259668508287292,10.266666666666667,ok
beta,11,2021-05-01,2021-05-30,30,73710,479,0.058,0.14032869785082175,0.23173277661795408,0.17480314960629925,26.366666666666667,ok
beta,12,2021-05-31,2021-06-29,30,73710,540,0.058,0.13096695226438188,0.3962962962962963,0.19687212511499538,54.46666666666667,ok
beta,13,2021-06-30,2021-07-29,30,73710,503,0.058,0.11052072263549416,0.4135188866799205,0.17442348008385747,62.733333333333334,ok
beta,14,2021-07-30,2021-08-30,30,73710,615,0.058,0.11345939933259176,0.33170731707317075,0.1690841276419395,59.93333333333333,ok
beta,15,2021-08-31,2021-09-29,30,73710,544,0.058,0.10788149804359978,0.3547794117647059,0.16545220745820832,59.63333333333333,ok
beta,16,2021-09-30,2021-10-29,30,73710,284,0.058,0.10109289617486339,0.2605633802816901,0.14566929133858267,24.4,ok
beta,17,2021-10-30,2021-11-28,30,73710,129,0.058,0.06,0.09302325581395349,0.0729483282674772,6.666666666666667,ok
beta,18,2021-11-29,2021-12-28,30,73710,102,0.058,0.09523809523809523,0.0784313725490196,0.08602150537634408,2.8,ok
beta,19,2021-12-29,2021-12-31,3,7371,11,0.058,NA,0,NA,0,ok
