method,policy_type,policy_target,selected_split,selected_threshold,val_precision,val_recall,val_alerts_per_day,val_f1,test_precision,test_recall,test_alerts_per_day,test_f1,test_kappa,test_tp,test_fp,test_tn,test_fn,notes
platt,precision_floor,0.15,validation_threshold_select,0.13,0.15156794425087108,0.0778175313059034,6.3076923076923075,0.10283687943262411,0.18482490272373542,0.08878504672897196,4.732965009208103,0.11994949494949496,0.11765320860006903,475,2095,1326706,4875,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,5,validation_threshold_select,0.14,0.1688888888888889,0.06797853309481217,4.945054945054945,0.09693877551020408,0.1956928838951311,0.07813084112149532,3.9337016574585637,0.11167512690355329,0.10963762973374924,418,1718,1327083,4932,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,10,validation_threshold_select,0.11,0.14018691588785046,0.1073345259391771,9.406593406593407,0.121580547112462,0.1643243243243243,0.11364485981308411,6.813996316758748,0.1343646408839779,0.13151694711640488,608,3092,1325709,4742,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,20,validation_threshold_select,0.072,0.10879368658399098,0.17262969588550983,19.494505494505493,0.1334716459197787,0.11708298804309222,0.18485981308411215,15.556169429097606,0.14336449952888308,0.13913751748825923,989,7458,1321343,4361,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,alerts_per_day_cap,30,validation_threshold_select,0.055,0.09140969162995595,0.22271914132379247,29.934065934065934,0.12961998958875584,0.09701159678858162,0.24392523364485982,24.773480662983424,0.13881501967875756,0.13384501023989004,1305,12147,1316654,4045,platt calibration; threshold selected on threshold-select subset (strict mode)
platt,f1_max,NA,validation_threshold_select,0.062,0.10314298362107127,0.20840787119856888,24.824175824175825,0.13799230085875036,0.10484533260333972,0.2147663551401869,20.18232044198895,0.1409037954503648,0.13624888848894082,1149,9810,1318991,4201,platt calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.05,validation_threshold_select,0.026,0.05146525836181009,0.4445438282647585,106.12087912087912,0.09225058004640371,0.05551228492529916,0.43962616822429906,78.02762430939227,0.09857708669502714,0.09211209604159791,2352,40017,1288784,2998,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.1,validation_threshold_select,0.057,0.10129310344827586,0.2101967799642218,25.494505494505493,0.13670738801628854,0.10316125033206411,0.2177570093457944,20.79742173112339,0.1399987982935769,0.13529308526873618,1165,10128,1318673,4185,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,precision_floor,0.15,validation_threshold_select,0.11,0.15024232633279483,0.08318425760286226,6.802197802197802,0.10708117443868741,0.18165204678362573,0.09289719626168225,5.038674033149171,0.12292851842691072,0.12054193685614524,497,2239,1326562,4853,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,5,validation_threshold_select,0.13,0.17579250720461095,0.05456171735241502,3.8131868131868134,0.08327645051194538,0.2046242774566474,0.06616822429906542,3.1860036832412524,0.09999999999999999,0.09823279849617705,354,1376,1327425,4996,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,10,validation_threshold_select,0.095,0.13953488372093023,0.11270125223613596,9.923076923076923,0.12469074715487383,0.16212043232115286,0.11775700934579439,7.156537753222836,0.13642269380684277,0.13349876462400326,630,3256,1325545,4720,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,20,validation_threshold_select,0.066,0.10782122905027933,0.17262969588550983,19.67032967032967,0.1327372764786795,0.11629542790152403,0.18542056074766355,15.70902394106814,0.1429394812680115,0.1386943055131734,992,7538,1321263,4358,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,alerts_per_day_cap,30,validation_threshold_select,0.052,0.09144326110907088,0.22271914132379247,29.923076923076923,0.12965373600624835,0.09696609161213564,0.24373831775700935,24.766114180478823,0.1387381636344292,0.1337681337174502,1304,12144,1316657,4046,beta calibration; threshold selected on threshold-select subset (strict mode)
beta,f1_max,NA,validation_threshold_select,0.058,0.10318866253321524,0.20840787119856888,24.813186813186814,0.13803317535545026,0.1048733656395721,0.21439252336448597,20.141804788213626,0.14084852950205684,0.13619640946359263,1147,9790,1319011,4203,beta calibration; threshold selected on threshold-select subset (strict mode)
isotonic,precision_floor,0.05,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.1,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,precision_floor,0.15,validation_threshold_select,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No threshold satisfies policy constraint
isotonic,alerts_per_day_cap,5,validation_threshold_select,0.052,0.002232142857142857,8.944543828264759e-4,4.923076923076923,0.001277139208173691,0.0039032006245121,0.001869158878504673,4.718232044198895,0.002527805864509606,-6.93724346918606e-5,10,2552,1326249,5340,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,10,validation_threshold_select,0.042,0.001145475372279496,8.944543828264759e-4,9.593406593406593,0.001004520341536916,0.0026,0.002429906542056075,9.208103130755065,0.0025120772946859906,-0.0013676572016377403,13,4987,1323814,5337,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,20,validation_threshold_select,0.032,5.973715651135006e-4,8.944543828264759e-4,18.395604395604394,7.163323782234957e-4,0.0014210312626877792,0.002616822429906542,18.14364640883978,0.001841862912774635,-0.0033732653218142483,14,9838,1318963,5336,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,alerts_per_day_cap,30,validation_threshold_select,0.027,3.772161448509996e-4,8.944543828264759e-4,29.13186813186813,5.306447333510215e-4,0.001087234586850857,0.003177570093457944,28.795580110497237,0.0016201277041837416,-0.004381561698905655,17,15619,1313182,5333,isotonic calibration; threshold selected on threshold-select subset (strict mode)
isotonic,f1_max,NA,validation_threshold_select,0.0015,0.006473234781011845,0.5044722719141324,957.4505494505495,0.012782449062847043,0.0052367864227904305,0.4889719626168224,919.9686924493554,0.010362591677840653,0.0024469096903997085,2616,496927,831874,2734,isotonic calibration; threshold selected on threshold-select subset (strict mode)
