threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.0075,5342,955330,373471,8,960672,1769.1933701657458,0.005560690849738517,0.9985046728971962,0.2810586385771835,0.011059789528602868,0.28393562647706294,0.0031089201748100317,test
0.0076,5342,952351,376450,8,957693,1763.707182320442,0.00557798793559105,0.9985046728971962,0.28330050925608874,0.011094000994763473,0.2861685071629823,0.00314354475796882,test
0.0077,5342,949416,379385,8,954758,1758.3020257826888,0.005595135102298174,0.9985046728971962,0.2855092673771317,0.011127914776254336,0.28836840807374875,0.0031778680523313215,test
0.0078,5342,946518,382283,8,951860,1752.965009208103,0.005612169856911731,0.9985046728971962,0.287690180847245,0.011161605081434585,0.290540575991773,0.003211965162548893,test
0.0079,5342,943570,385231,8,948912,1747.53591160221,0.005629605274250931,0.9985046728971962,0.28990872222402,0.011196086609337897,0.2927502209270165,0.0032468630397460927,test
0.008,5342,940714,388087,8,946056,1742.2762430939226,0.005646600201256585,0.9985046728971962,0.29205802825253746,0.011229695839631031,0.29489090815057667,0.0032808780773463404,test
0.0081,5342,937958,390843,8,943300,1737.2007366482505,0.005663097635958868,0.9985046728971962,0.29413207846773143,0.011262320139145101,0.29695664133969846,0.003313896282982726,test
0.0082,5342,935172,393629,8,940514,1732.0699815837938,0.005679872920551953,0.9985046728971962,0.2962287054269225,0.011295492798118967,0.2990448607391517,0.003347469460033702,test
0.0083,5342,932410,396391,8,937752,1726.9834254143645,0.00569660208669243,0.9985046728971962,0.29830727099091586,0.011328573155395705,0.3011150911703398,0.003380949211981184,test
0.0084,5342,929631,399170,8,934973,1721.865561694291,0.005713533973708332,0.9985046728971962,0.30039863004317424,0.0113620532519145,0.3031980637873824,0.003414833520279653,test
0.0085,5342,926932,401869,8,932274,1716.8950276243095,0.0057300750637688065,0.9985046728971962,0.3024297844447739,0.011394759519807514,0.3052210731768743,0.0034479346484980323,test
0.0086,5342,924155,404646,8,929497,1711.780847145488,0.005747194450331739,0.9985046728971962,0.30451963838076584,0.011428608103785967,0.3073025467132281,0.003482191874668384,test
0.0087,5342,921472,407329,8,926814,1706.8397790055249,0.005763831793650074,0.9985046728971962,0.3065387518522337,0.0114615024823958,0.30931356345720984,0.003515483366685101,test
0.0088,5341,918892,409909,9,924233,1702.086556169429,0.0057788458105261335,0.9983177570093458,0.30848035183597844,0.011491173999524517,0.3112466280053757,0.003545521761113208,test
0.0089,5341,916241,412560,9,921582,1697.2044198895028,0.00579546909553355,0.9983177570093458,0.31047538344718284,0.011524038440791773,0.3132336594583372,0.003578782962057448,test
0.009,5338,913693,415108,12,919031,1692.5064456721916,0.005808291559261875,0.9977570093457944,0.31239290157066407,0.011549350321999262,0.31514123963479396,0.0036044266049599133,test
0.0091,5337,911179,417622,13,916516,1687.8747697974218,0.005823138930471481,0.9975700934579439,0.31428483271761537,0.011578689310593948,0.31702483452023045,0.00363412860151244,test
0.0092,5337,908675,420126,13,914012,1683.2633517495397,0.005839091828116042,0.9975700934579439,0.3161692382832343,0.011610225351928837,0.31890168354256754,0.0036660454370444637,test
0.0093,5337,906208,422593,13,911545,1678.7200736648251,0.005854894711725697,0.9975700934579439,0.31802579919792356,0.011641463853549208,0.32075079957216235,0.003697661132060781,test
0.0094,5337,903741,425060,13,909078,1674.1767955801106,0.005870783365123785,0.9975700934579439,0.3198823601126128,0.011672870909464715,0.3225999156017572,0.003729447408534463,test
0.0095,5337,901288,427513,13,906625,1669.659300184162,0.005886667585826555,0.9975700934579439,0.3217283852134368,0.01170426820910661,0.3244385380665307,0.003761223802846863,test
0.0096,5337,898816,429985,13,904153,1665.1068139963168,0.005902762032532104,0.9975700934579439,0.3235887089187922,0.011736080034920172,0.3262914017978475,0.0037934197201219587,test
0.0097,5337,896470,432331,13,901807,1660.7863720073665,0.005918117734725945,0.9975700934579439,0.3253542102993601,0.011766430728087862,0.3280498234457719,0.00382413685550611,test
0.0098,5337,894036,434765,13,899373,1656.3038674033148,0.005934134113432358,0.9975700934579439,0.3271859367956526,0.011798086265077818,0.3298742046440021,0.0038561745808289773,test
0.0099,5337,891633,437168,13,896970,1651.878453038674,0.005950031773637915,0.9975700934579439,0.32899433398981487,0.011829506161893787,0.33167535009155635,0.0038879738128843335,test
0.01,5337,889280,439521,13,894617,1647.5451197053408,0.0059656814033267865,0.9975700934579439,0.3307651032773154,0.011860434882612361,0.33343901852189145,0.003919275930920839,test
0.011,5332,866941,461860,18,872273,1606.3959484346224,0.006112765154945757,0.9966355140186915,0.3475764994156386,0.012151003335145046,0.3501792525733594,0.00421339796197452,test
0.012,5329,846459,482342,21,851788,1568.670349907919,0.006256251555551381,0.9960747663551401,0.36299039510054554,0.012434403794954838,0.36552908928599537,0.004500248150256604,test
0.013,5328,827610,501191,22,832938,1533.9558011049724,0.006396634563436894,0.9958878504672897,0.3771753633538807,0.0127116217815357,0.37965642569694136,0.004780822581004156,test
0.014,5323,810000,518801,27,815323,1501.5156537753223,0.006528700895228026,0.9949532710280374,0.3904279120801384,0.012972280067700534,0.39285208345981826,0.005044676581246121,test
