threshold,tp,fp,tn,fn,n_alerts,alerts_per_day,precision,recall,specificity,f1,accuracy,kappa,split
0.0069,5243,959636,361898,3,964879,1786.812962962963,0.005433841963603726,0.9994281357224553,0.27384690821424196,0.010808916376755573,0.2767158081972897,0.002967148334390835,test
0.007,5242,956779,364755,4,962021,1781.5203703703703,0.005448945501189683,0.9992375142966069,0.27600878978520416,0.010838785981533539,0.27886838812764736,0.002997381699200674,test
0.0071,5242,953862,367672,4,959104,1776.1185185185186,0.0054655178166288535,0.9992375142966069,0.27821607313924573,0.010871571524861305,0.281066944029907,0.0030305575071711065,test
0.0072,5242,951106,370428,4,956348,1771.0148148148148,0.0054812683249193805,0.9992375142966069,0.2803015283753577,0.01090273025830028,0.2831441535145239,0.0030620871323845658,test
0.0073,5242,948281,373253,4,953523,1765.7833333333333,0.005497507663685092,0.9992375142966069,0.282439195662011,0.010934855006784741,0.28527336860670194,0.003094594263206542,test
0.0074,5242,945548,375986,4,950790,1760.7222222222222,0.005513309984328822,0.9992375142966069,0.2845072468812759,0.010966114246743847,0.28733324288879847,0.0031262255753196676,test
0.0075,5242,942775,378759,4,948017,1755.5870370370371,0.005529436708413457,0.9992375142966069,0.28660556595592696,0.010998014189158712,0.28942326534919127,0.0031585052079037387,test
0.0076,5242,940043,381491,4,945285,1750.5277777777778,0.005545417519584041,0.9992375142966069,0.2886728604788072,0.011029624494098562,0.29148238592683035,0.0031904917474905843,test
0.0077,5242,937338,384196,4,942580,1745.5185185185185,0.005561331664155828,0.9992375142966069,0.2907197241993017,0.011061101932211189,0.29352115648411947,0.003222343830817964,test
0.0078,5242,934733,386801,4,939975,1740.6944444444443,0.0055767440623420836,0.9992375142966069,0.29269091828133065,0.01109158598888514,0.2954845565956677,0.003253190701834176,test
0.0079,5242,932136,389398,4,937378,1735.8851851851853,0.00559219439756427,0.9992375142966069,0.2946560587922823,0.01112214414230913,0.2974419270715567,0.0032841125439551427,test
0.008,5242,929572,391962,4,934814,1731.137037037037,0.005607532621462665,0.9992375142966069,0.29659622832254035,0.011152479628959853,0.29937442530035124,0.0033148090617730747,test
0.0081,5241,926998,394536,5,932239,1726.3685185185186,0.0056219488779165,0.9990468928707587,0.2985439648166449,0.01118097889566233,0.3013137068692624,0.0033436559795933566,test
0.0082,5241,924391,397143,5,929632,1721.5407407407408,0.005637714708615882,0.9990468928707587,0.30051667229144313,0.011212158163952945,0.3032786143897255,0.0033752063295985437,test
0.0083,5241,921862,399672,5,927103,1716.8574074074074,0.005653093561341081,0.9990468928707587,0.3024303574482382,0.011242571183108471,0.30518473296251075,0.00340598130335266,test
0.0084,5240,919397,402137,6,924637,1712.2907407407408,0.005667088814313076,0.9988562714449104,0.30429561403641525,0.0112702350725844,0.30704186074556444,0.0034339829729806773,test
0.0085,5240,916985,404549,6,922225,1707.8240740740741,0.005681910596654829,0.9988562714449104,0.30612076571620556,0.011299544675790401,0.30885979589683293,0.0034636414070644264,test
0.0086,5240,914565,406969,6,919805,1703.3425925925926,0.005696859660471513,0.9988562714449104,0.3079519709670731,0.011329105097989192,0.3106837606837607,0.003493553638260016,test
0.0087,5239,912145,409389,7,917384,1698.8592592592593,0.005710803763745607,0.9986656500190622,0.30978317621794066,0.011356665185393928,0.31250697176623105,0.0035214503399853517,test
0.0088,5239,909797,411737,7,915036,1694.5111111111112,0.005725457796195997,0.9986656500190622,0.311559899329113,0.011385640488458974,0.3142766698322254,0.003550770496776027,test
0.0089,5238,907385,414149,8,912623,1690.0425925925927,0.005739500319409,0.9984750285932139,0.3133850510089033,0.01141339341452865,0.31609385127903644,0.003578862386143253,test
0.009,5238,905044,416490,8,910282,1685.7074074074073,0.005754260767542366,0.9984750285932139,0.31515647724538304,0.011442577397960523,0.317858273413829,0.0036083937154409015,test
0.0091,5238,902711,418823,8,907949,1681.387037037037,0.005769046499307781,0.9984750285932139,0.3169218499107855,0.011471810511446077,0.31961666591296223,0.003637974752637701,test
0.0092,5237,900350,421184,9,905587,1677.012962962963,0.00578298937595173,0.9982844071673657,0.31870841007495837,0.011499363769209065,0.32139540843244546,0.003665864666710837,test
0.0093,5237,898149,423385,9,903386,1672.937037037037,0.00579707898949065,0.9982844071673657,0.3203738988175862,0.011527218940120975,0.32305431194320083,0.0036940513697575946,test
0.0094,5236,895891,425643,10,901127,1668.7537037037036,0.005810501738378719,0.9980937857415173,0.3220825192541395,0.011553742223124476,0.32475542290357107,0.00372089910315679,test
0.0095,5236,893646,427888,10,898882,1664.5962962962963,0.005825013739289473,0.9980937857415173,0.3237813026376923,0.01158243080625752,0.3264474894104524,0.0037499291465274347,test
0.0096,5236,891392,430142,10,896628,1660.4222222222222,0.005839657026102241,0.9980937857415173,0.3254868962887069,0.011611378086074106,0.32814633925745035,0.0037792209589271844,test
0.0097,5235,889253,432281,11,894488,1656.4592592592592,0.005852510039262684,0.9979031643156691,0.3271054698554861,0.011636772646137635,0.329757759387389,0.0038049266031850056,test
0.0098,5235,887023,434511,11,892258,1652.3296296296296,0.005867137083668625,0.9979031643156691,0.32879290279326906,0.011665686169643811,0.3314385203274092,0.003834184266519607,test
0.0099,5235,884875,436659,11,890110,1648.351851851852,0.005881295570210423,0.9979031643156691,0.33041828662751016,0.01169367268438476,0.33305747750192194,0.0038625038810402683,test
0.01,5235,882748,438786,11,887983,1644.4129629629629,0.005895383132334741,0.9979031643156691,0.3320277798376735,0.011721518222090865,0.3346606068828291,0.0038906808343132514,test
