method,window_id,start_date,end_date,n_days,n_rows,n_positives,threshold,precision,recall,f1,alerts_per_day,note
platt,5,2020-11-02,2020-12-01,30,73710,154,0.061,0.15503875968992248,0.12987012987012986,0.1413427561837456,4.3,ok
platt,6,2020-12-02,2020-12-31,30,73710,148,0.061,0.0851063829787234,0.02702702702702703,0.041025641025641026,1.5666666666666667,ok
platt,7,2021-01-01,2021-01-30,30,73710,131,0.061,0.022222222222222223,0.015267175572519083,0.018099547511312215,3,ok
platt,8,2021-01-31,2021-03-04,30,73710,97,0.061,0.05063291139240506,0.041237113402061855,0.04545454545454545,2.6333333333333333,ok
platt,9,2021-03-05,2021-04-03,30,73710,131,0.061,0.11194029850746269,0.11450381679389313,0.11320754716981132,4.466666666666667,ok
platt,10,2021-04-04,2021-05-03,30,73710,252,0.061,0.12316715542521994,0.16666666666666666,0.14165261382799327,11.366666666666667,ok
platt,11,2021-05-04,2021-06-02,30,73710,491,0.061,0.1323185011709602,0.23014256619144602,0.16802973977695165,28.466666666666665,ok
platt,12,2021-06-03,2021-07-02,30,73710,539,0.061,0.13516896120150187,0.4007421150278293,0.2021525503041647,53.266666666666666,ok
platt,13,2021-07-03,2021-08-01,30,73710,512,0.061,0.11157455683003129,0.41796875,0.17613168724279837,63.93333333333333,ok
platt,14,2021-08-02,2021-09-02,30,73710,649,0.061,0.12153163152053274,0.337442218798151,0.17870257037943696,60.06666666666667,ok
platt,15,2021-09-03,2021-10-02,30,73710,502,0.061,0.1017274472168906,0.31673306772908366,0.1539951573849879,52.1,ok
platt,16,2021-10-03,2021-11-01,30,73710,251,0.061,0.09682299546142209,0.2549800796812749,0.14035087719298245,22.033333333333335,ok
platt,17,2021-11-02,2021-12-01,30,73710,131,0.061,0.0718562874251497,0.0916030534351145,0.08053691275167785,5.566666666666666,ok
platt,18,2021-12-02,2021-12-31,30,73710,100,0.061,0.08571428571428572,0.06,0.07058823529411765,2.3333333333333335,ok
beta,1,2020-07-01,2020-07-30,30,73710,360,0.058,0.07744107744107744,0.3194444444444444,0.12466124661246611,49.5,ok
beta,2,2020-07-31,2020-08-29,30,73710,325,0.058,0.06141732283464567,0.24,0.09780564263322883,42.333333333333336,ok
beta,3,2020-08-30,2020-10-02,30,73710,248,0.058,0.08163265306122448,0.24193548387096775,0.12207527975584943,24.5,ok
beta,4,2020-10-03,2020-11-01,30,73710,225,0.058,0.12550607287449392,0.13777777777777778,0.1313559322033898,8.233333333333333,ok
beta,5,2020-11-02,2020-12-01,30,73710,154,0.058,0.16030534351145037,0.13636363636363635,0.14736842105263157,4.366666666666666,ok
beta,6,2020-12-02,2020-12-31,30,73710,148,0.058,0.08333333333333333,0.02702702702702703,0.04081632653061225,1.6,ok
beta,7,2021-01-01,2021-01-30,30,73710,131,0.058,0.031578947368421054,0.022900763358778626,0.026548672566371685,3.1666666666666665,ok
beta,8,2021-01-31,2021-03-04,30,73710,97,0.058,0.04938271604938271,0.041237113402061855,0.04494382022471911,2.7,ok
beta,9,2021-03-05,2021-04-03,30,73710,131,0.058,0.11267605633802817,0.12213740458015267,0.11721611721611722,4.733333333333333,ok
beta,10,2021-04-04,2021-05-03,30,73710,252,0.058,0.1239193083573487,0.17063492063492064,0.14357262103505844,11.566666666666666,ok
beta,11,2021-05-04,2021-06-02,30,73710,491,0.058,0.13097949886104784,0.23421588594704684,0.16800584368151938,29.266666666666666,ok
beta,12,2021-06-03,2021-07-02,30,73710,539,0.058,0.13227189222290264,0.4007421150278293,0.19889502762430944,54.43333333333333,ok
beta,13,2021-07-03,2021-08-01,30,73710,512,0.058,0.11133810010214505,0.42578125,0.17651821862348177,65.26666666666667,ok
beta,14,2021-08-02,2021-09-02,30,73710,649,0.058,0.11926605504587157,0.3405238828967643,0.17665867306155078,61.766666666666666,ok
beta,15,2021-09-03,2021-10-02,30,73710,502,0.058,0.10149439601494396,0.3247011952191235,0.15464895635673626,53.53333333333333,ok
beta,16,2021-10-03,2021-11-01,30,73710,251,0.058,0.093841642228739,0.2549800796812749,0.13719185423365488,22.733333333333334,ok
beta,17,2021-11-02,2021-12-01,30,73710,131,0.058,0.07514450867052024,0.09923664122137404,0.08552631578947367,5.766666666666667,ok
beta,18,2021-12-02,2021-12-31,30,73710,100,0.058,0.0821917808219178,0.06,0.06936416184971099,2.433333333333333,ok
