Feature,Gain,Cover,Frequency
ntl_log_ratio_sum_lag1,0.0023243684037318264,0.008855589433888792,0.0125
lai_high_lag7,0.0023087660610282834,0.005847358279768523,0.010919540229885057
rain_lag7,0.002285274207541354,0.004332881296399157,0.0125
wsp_lag7,0.002282688767840779,0.003225657627295908,0.010344827586206896
lai_low_lag1,0.0022680413880436863,0.005398053855876255,0.010057471264367816
ntl_sd_built_lag1,0.0022566594470598473,0.005505081109781936,0.010201149425287357
ntl_sd_built_lag14,0.0022498358597493324,0.0074885434082558435,0.008189655172413794
ntl_mean_built_lag2,0.002197049051658434,0.0041644995193705105,0.008764367816091955
max_temp_lag7,0.0021909936078824315,0.0053012062938701055,0.011063218390804598
min_temp_lag1,0.0021781992110416564,0.005907748265568519,0.011206896551724138
skin_temp_lag1,0.0021530983318367117,0.0035583863844665976,0.010057471264367816
wdr_lag7,0.002112703420394856,0.0032524106406610987,0.011350574712643679
temp_lag1,0.002023990935064679,0.009771014579947902,0.009482758620689655
ntl_log_ratio_mean_lag1,0.0020229411974037807,0.008118061082757363,0.011350574712643679
dew_lag1,0.0020125233847861843,0.007651910420320228,0.008477011494252874
ntl_log_ratio_mean_lag7,0.0019560083796674095,0.0073810573772853695,0.01264367816091954
ntl_mean_built_lag7,0.0018589174940283257,0.00603504600370147,0.008189655172413794
lai_low_lag7,0.0018064354862279688,0.0034744032353661515,0.007902298850574713
min_dew_lag7,0.0017552471733268131,0.002520587062569293,0.009913793103448277
ntl_sd_built_lag7,0.0017153783982789951,0.002782248672934052,0.005890804597701149
min_temp_lag7,0.0015909774651103356,0.002969444685504884,0.007614942528735632
skin_temp_lag7,0.001528069259271721,0.003174415315309429,0.008620689655172414
max_dew_lag7,0.0014624250661801977,0.0034212981779479213,0.007183908045977011
month,0.001387525513786444,0.002318465594947759,0.0033045977011494252
hist_outage_count_env_30d,0.001185705696839831,0.0037766336816678,0.004310344827586207
dew_lag7,0.0010864017426804602,0.0011192448027806696,0.004166666666666667
temp_lag7,0.0010400131080588633,0.0014190523902863211,0.00603448275862069
dow_sin,7.207635189072517e-4,4.7301976652648853e-4,0.0034482758620689655
hist_outage_rate_30d,6.732298355934051e-4,0.0032339252874725903,0.0010057471264367816
dow_num,5.734777977055687e-4,4.8334455358205365e-4,0.004022988505747126
month_cos,4.4054913548681105e-4,2.4399253258382833e-4,0.0010057471264367816
hist_outage_count_tech_30d,4.074085879657109e-4,0.0018468267658110803,0.001867816091954023
is_holiday,2.397701101273099e-4,1.8156067792730987e-4,0.0011494252873563218
dow_cos,1.440468890356721e-4,4.218055091490483e-5,0.002011494252873563
is_public_holiday,1.0599299690785417e-4,1.4877858657552607e-4,0.0011494252873563218
is_weekend,8.359992604220103e-5,3.737076596557034e-4,4.310344827586207e-4
clim_n_obs,7.853029937672337e-5,2.9436516608446757e-4,0.0011494252873563218
has_weather,6.9792782458705195e-6,2.600824194447853e-5,1.4367816091954023e-4
